[2019-11-17 11:37:30.326375] [info] Loading certificate content...
[2019-11-17 11:37:30.326746] [debug] Certificate content loaded!
[2019-11-17 11:37:30.329744] [debug] Xero config loaded!
[2019-11-17 11:37:31.675096] [info] Xero data retrieved!
[2019-11-17 11:37:31.678822] [debug] Received data count: 45
[2019-11-17 11:37:31.690942] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.691071] [debug] Original entry field count: 9
[2019-11-17 11:37:31.691200] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.691365] [debug] Original entry field count: 10
[2019-11-17 11:37:31.691490] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.691621] [debug] Original entry field count: 10
[2019-11-17 11:37:31.691804] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.691936] [debug] Original entry field count: 9
[2019-11-17 11:37:31.692059] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.692188] [debug] Original entry field count: 12
[2019-11-17 11:37:31.692313] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.692468] [info] Nothing to save: 
[2019-11-17 11:37:49.377703] [info] Loading certificate content...
[2019-11-17 11:37:49.378104] [debug] Certificate content loaded!
[2019-11-17 11:37:49.381735] [debug] Xero config loaded!
[2019-11-17 11:37:49.936712] [info] Xero data retrieved!
[2019-11-17 11:37:49.940593] [debug] Received data count: 45
[2019-11-17 11:37:49.940813] [debug] Original entry field count: 13
[2019-11-17 11:37:49.940960] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.941143] [debug] Original entry field count: 9
[2019-11-17 11:37:49.941385] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.941595] [debug] Original entry field count: 9
[2019-11-17 11:37:49.941728] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.941864] [debug] Original entry field count: 9
[2019-11-17 11:37:49.942079] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.942228] [debug] Original entry field count: 10
[2019-11-17 11:37:49.942356] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.942490] [debug] Original entry field count: 9
[2019-11-17 11:37:49.942612] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.942816] [debug] Original entry field count: 9
[2019-11-17 11:37:49.942950] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.943083] [debug] Original entry field count: 9
[2019-11-17 11:37:49.943209] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.943341] [debug] Original entry field count: 10
[2019-11-17 11:37:49.943516] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.943697] [debug] Original entry field count: 9
[2019-11-17 11:37:49.943883] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.944026] [debug] Original entry field count: 9
[2019-11-17 11:37:49.944148] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.944282] [debug] Original entry field count: 9
[2019-11-17 11:37:49.944503] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.944648] [debug] Original entry field count: 10
[2019-11-17 11:37:49.944780] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.944911] [debug] Original entry field count: 9
[2019-11-17 11:37:49.945038] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.945185] [debug] Original entry field count: 9
[2019-11-17 11:37:49.945364] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.945498] [debug] Original entry field count: 9
[2019-11-17 11:37:49.945622] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.945755] [debug] Original entry field count: 10
[2019-11-17 11:37:49.945899] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.946083] [debug] Original entry field count: 11
[2019-11-17 11:37:49.946211] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.946346] [debug] Original entry field count: 10
[2019-11-17 11:37:49.946472] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.946631] [debug] Original entry field count: 10
[2019-11-17 11:37:49.946798] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.946933] [debug] Original entry field count: 10
[2019-11-17 11:37:49.947055] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.947184] [debug] Original entry field count: 9
[2019-11-17 11:37:49.947320] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.947510] [debug] Original entry field count: 10
[2019-11-17 11:37:49.947640] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.947824] [debug] Original entry field count: 9
[2019-11-17 11:37:49.947947] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.948081] [debug] Original entry field count: 9
[2019-11-17 11:37:49.948282] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.948420] [debug] Original entry field count: 11
[2019-11-17 11:37:49.948543] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.948683] [debug] Original entry field count: 13
[2019-11-17 11:37:49.948815] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.948961] [debug] Original entry field count: 12
[2019-11-17 11:37:49.949088] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.949223] [debug] Original entry field count: 9
[2019-11-17 11:37:49.949346] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.949549] [debug] Original entry field count: 11
[2019-11-17 11:37:49.949686] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.949887] [debug] Original entry field count: 9
[2019-11-17 11:37:49.950018] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.950193] [debug] Original entry field count: 10
[2019-11-17 11:37:49.950345] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.950495] [debug] Original entry field count: 11
[2019-11-17 11:37:49.950623] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.950757] [debug] Original entry field count: 9
[2019-11-17 11:37:49.950942] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.951157] [debug] Original entry field count: 19
[2019-11-17 11:37:49.951298] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.951446] [debug] Original entry field count: 11
[2019-11-17 11:37:49.951575] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.951848] [debug] Original entry field count: 9
[2019-11-17 11:37:49.952069] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.952231] [debug] Original entry field count: 10
[2019-11-17 11:37:49.952364] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.952510] [debug] Original entry field count: 11
[2019-11-17 11:37:49.952722] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.952883] [debug] Original entry field count: 9
[2019-11-17 11:37:49.953018] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.953155] [debug] Original entry field count: 9
[2019-11-17 11:37:49.953284] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.953459] [debug] Original entry field count: 10
[2019-11-17 11:37:49.953624] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.953762] [debug] Original entry field count: 10
[2019-11-17 11:37:49.953907] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.954049] [debug] Original entry field count: 9
[2019-11-17 11:37:49.954176] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.954310] [debug] Original entry field count: 12
[2019-11-17 11:37:49.954442] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:49.954602] [info] Nothing to save: 
[2019-11-17 11:38:13.189280] [info] Loading certificate content...
[2019-11-17 11:38:13.189651] [debug] Certificate content loaded!
[2019-11-17 11:38:13.192547] [debug] Xero config loaded!
[2019-11-17 11:38:13.853506] [info] Xero data retrieved!
[2019-11-17 11:38:13.855521] [debug] Received data count: 58
[2019-11-17 11:38:13.855839] [debug] Original entry field count: 16
[2019-11-17 11:38:13.855998] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.856132] [debug] Original entry field count: 16
[2019-11-17 11:38:13.856262] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.856390] [debug] Original entry field count: 15
[2019-11-17 11:38:13.856517] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.856638] [debug] Original entry field count: 14
[2019-11-17 11:38:13.856764] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.856884] [debug] Original entry field count: 14
[2019-11-17 11:38:13.857012] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.857136] [debug] Original entry field count: 14
[2019-11-17 11:38:13.857265] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.857388] [debug] Original entry field count: 14
[2019-11-17 11:38:13.857511] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.857637] [debug] Original entry field count: 14
[2019-11-17 11:38:13.857763] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.857886] [debug] Original entry field count: 14
[2019-11-17 11:38:13.858011] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.858133] [debug] Original entry field count: 14
[2019-11-17 11:38:13.858258] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.858376] [debug] Original entry field count: 14
[2019-11-17 11:38:13.858500] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.858622] [debug] Original entry field count: 14
[2019-11-17 11:38:13.858747] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.858867] [debug] Original entry field count: 14
[2019-11-17 11:38:13.858992] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.859116] [debug] Original entry field count: 14
[2019-11-17 11:38:13.859241] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.859364] [debug] Original entry field count: 14
[2019-11-17 11:38:13.859488] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.859611] [debug] Original entry field count: 14
[2019-11-17 11:38:13.859770] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.859894] [debug] Original entry field count: 14
[2019-11-17 11:38:13.860019] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.860142] [debug] Original entry field count: 14
[2019-11-17 11:38:13.860269] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.860388] [debug] Original entry field count: 14
[2019-11-17 11:38:13.860513] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.860634] [debug] Original entry field count: 14
[2019-11-17 11:38:13.860755] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.860874] [debug] Original entry field count: 14
[2019-11-17 11:38:13.860999] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.861121] [debug] Original entry field count: 14
[2019-11-17 11:38:13.861247] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.861398] [debug] Original entry field count: 14
[2019-11-17 11:38:13.861526] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.861653] [debug] Original entry field count: 14
[2019-11-17 11:38:13.861779] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.861905] [debug] Original entry field count: 14
[2019-11-17 11:38:13.862032] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.862179] [debug] Original entry field count: 14
[2019-11-17 11:38:13.862308] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.862431] [debug] Original entry field count: 14
[2019-11-17 11:38:13.862552] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.862675] [debug] Original entry field count: 14
[2019-11-17 11:38:13.862796] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.862912] [debug] Original entry field count: 14
[2019-11-17 11:38:13.863035] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.863157] [debug] Original entry field count: 14
[2019-11-17 11:38:13.863281] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.863403] [debug] Original entry field count: 15
[2019-11-17 11:38:13.863526] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.863648] [debug] Original entry field count: 15
[2019-11-17 11:38:13.863804] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.863925] [debug] Original entry field count: 15
[2019-11-17 11:38:13.864049] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.864211] [debug] Original entry field count: 14
[2019-11-17 11:38:13.864341] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.864461] [debug] Original entry field count: 15
[2019-11-17 11:38:13.864588] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.864708] [debug] Original entry field count: 14
[2019-11-17 11:38:13.864835] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.864955] [debug] Original entry field count: 14
[2019-11-17 11:38:13.865082] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.865202] [debug] Original entry field count: 14
[2019-11-17 11:38:13.865325] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.865452] [debug] Original entry field count: 14
[2019-11-17 11:38:13.865576] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.865701] [debug] Original entry field count: 14
[2019-11-17 11:38:13.865824] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.865951] [debug] Original entry field count: 14
[2019-11-17 11:38:13.866075] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.866199] [debug] Original entry field count: 15
[2019-11-17 11:38:13.866322] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.866445] [debug] Original entry field count: 15
[2019-11-17 11:38:13.866569] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.866695] [debug] Original entry field count: 15
[2019-11-17 11:38:13.866821] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.866945] [debug] Original entry field count: 14
[2019-11-17 11:38:13.867074] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.867202] [debug] Original entry field count: 14
[2019-11-17 11:38:13.867327] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.867451] [debug] Original entry field count: 14
[2019-11-17 11:38:13.867578] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.867722] [debug] Original entry field count: 14
[2019-11-17 11:38:13.867849] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.867968] [debug] Original entry field count: 15
[2019-11-17 11:38:13.868093] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.868213] [debug] Original entry field count: 14
[2019-11-17 11:38:13.868340] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.868459] [debug] Original entry field count: 13
[2019-11-17 11:38:13.868581] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.868702] [debug] Original entry field count: 15
[2019-11-17 11:38:13.868828] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.868952] [debug] Original entry field count: 15
[2019-11-17 11:38:13.869077] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.869203] [debug] Original entry field count: 14
[2019-11-17 11:38:13.869324] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.869447] [debug] Original entry field count: 14
[2019-11-17 11:38:13.869571] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.869692] [debug] Original entry field count: 14
[2019-11-17 11:38:13.869829] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.869952] [debug] Original entry field count: 15
[2019-11-17 11:38:13.870075] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.870198] [debug] Original entry field count: 14
[2019-11-17 11:38:13.870323] [debug] Cleaned entry field count: 7
[2019-11-17 11:38:13.870470] [info] Nothing to save: 
[2019-11-17 11:39:11.166976] [info] Loading certificate content...
[2019-11-17 11:39:11.167347] [debug] Certificate content loaded!
[2019-11-17 11:39:11.170404] [debug] Xero config loaded!
[2019-11-17 11:39:12.018168] [info] Xero data retrieved!
[2019-11-17 11:39:12.020003] [debug] Received data count: 58
[2019-11-17 11:39:12.020237] [debug] Original entry field count: 16
[2019-11-17 11:39:12.020385] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.020518] [debug] Original entry field count: 16
[2019-11-17 11:39:12.020736] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.020878] [debug] Original entry field count: 15
[2019-11-17 11:39:12.021018] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.021203] [debug] Original entry field count: 14
[2019-11-17 11:39:12.021333] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.021528] [debug] Original entry field count: 14
[2019-11-17 11:39:12.021665] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.021850] [debug] Original entry field count: 14
[2019-11-17 11:39:12.021989] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.022150] [debug] Original entry field count: 14
[2019-11-17 11:39:12.022311] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.022444] [debug] Original entry field count: 14
[2019-11-17 11:39:12.022629] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.022758] [debug] Original entry field count: 14
[2019-11-17 11:39:12.022949] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.023082] [debug] Original entry field count: 14
[2019-11-17 11:39:12.023284] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.023431] [debug] Original entry field count: 14
[2019-11-17 11:39:12.023621] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.023838] [debug] Original entry field count: 14
[2019-11-17 11:39:12.023971] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.024161] [debug] Original entry field count: 14
[2019-11-17 11:39:12.024291] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.024482] [debug] Original entry field count: 14
[2019-11-17 11:39:12.024616] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.024758] [debug] Original entry field count: 14
[2019-11-17 11:39:12.024885] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.025008] [debug] Original entry field count: 14
[2019-11-17 11:39:12.025201] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.025393] [debug] Original entry field count: 14
[2019-11-17 11:39:12.025527] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.025651] [debug] Original entry field count: 14
[2019-11-17 11:39:12.025778] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.025897] [debug] Original entry field count: 14
[2019-11-17 11:39:12.026021] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.026144] [debug] Original entry field count: 14
[2019-11-17 11:39:12.026268] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.026391] [debug] Original entry field count: 14
[2019-11-17 11:39:12.026516] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.026642] [debug] Original entry field count: 14
[2019-11-17 11:39:12.026768] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.026891] [debug] Original entry field count: 14
[2019-11-17 11:39:12.027013] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.027138] [debug] Original entry field count: 14
[2019-11-17 11:39:12.027264] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.027390] [debug] Original entry field count: 14
[2019-11-17 11:39:12.027520] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.027730] [debug] Original entry field count: 14
[2019-11-17 11:39:12.027921] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.028090] [debug] Original entry field count: 14
[2019-11-17 11:39:12.028215] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.028341] [debug] Original entry field count: 14
[2019-11-17 11:39:12.028484] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.028678] [debug] Original entry field count: 14
[2019-11-17 11:39:12.028832] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.028954] [debug] Original entry field count: 14
[2019-11-17 11:39:12.029078] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.029221] [debug] Original entry field count: 15
[2019-11-17 11:39:12.029398] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.029536] [debug] Original entry field count: 15
[2019-11-17 11:39:12.029686] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.029849] [debug] Original entry field count: 15
[2019-11-17 11:39:12.029978] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.030205] [debug] Original entry field count: 14
[2019-11-17 11:39:12.030337] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.030524] [debug] Original entry field count: 15
[2019-11-17 11:39:12.030654] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.030843] [debug] Original entry field count: 14
[2019-11-17 11:39:12.030973] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.031147] [debug] Original entry field count: 14
[2019-11-17 11:39:12.031291] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.031451] [debug] Original entry field count: 14
[2019-11-17 11:39:12.031610] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.031783] [debug] Original entry field count: 14
[2019-11-17 11:39:12.031913] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.032033] [debug] Original entry field count: 14
[2019-11-17 11:39:12.032157] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.032280] [debug] Original entry field count: 14
[2019-11-17 11:39:12.032402] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.032522] [debug] Original entry field count: 15
[2019-11-17 11:39:12.032648] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.032768] [debug] Original entry field count: 15
[2019-11-17 11:39:12.032892] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.033014] [debug] Original entry field count: 15
[2019-11-17 11:39:12.033138] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.033260] [debug] Original entry field count: 14
[2019-11-17 11:39:12.033382] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.033503] [debug] Original entry field count: 14
[2019-11-17 11:39:12.033626] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.033746] [debug] Original entry field count: 14
[2019-11-17 11:39:12.033869] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.033991] [debug] Original entry field count: 14
[2019-11-17 11:39:12.034113] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.034235] [debug] Original entry field count: 15
[2019-11-17 11:39:12.034357] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.034477] [debug] Original entry field count: 14
[2019-11-17 11:39:12.034600] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.034723] [debug] Original entry field count: 13
[2019-11-17 11:39:12.034843] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.034965] [debug] Original entry field count: 15
[2019-11-17 11:39:12.035087] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.035206] [debug] Original entry field count: 15
[2019-11-17 11:39:12.035327] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.035446] [debug] Original entry field count: 14
[2019-11-17 11:39:12.035567] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.035727] [debug] Original entry field count: 14
